"_id","_labels","containsMeat","name","url","wasDerivedFromURL","_start","_end","_type"
"0",":http://schema.org/Author","","","","",,,
"1",":http://schema.org/Webpage","","","https://www.allrecipes.com","",,,
"2",":http://schema.org/Recipe","","Ukrainian Red Borscht Soup","","https://www.allrecipes.com/recipe/84450/ukrainian-red-borscht-soup/",,,
"3",":http://schema.org/Ingredient","true","pork sausage","","",,,
"4",":http://schema.org/Ingredient","false","07080 - root and tuber vegetables (excluding starchy- and sugar-) (efsa foodex2)","","",,,
"5",":http://schema.org/Ingredient","false","07120 - carrots (efsa foodex2)","","",,,
"6",":http://schema.org/Ingredient","false","baking powder","","",,,
"7",":http://schema.org/Ingredient","false","vegetable oil","","",,,
"8",":http://schema.org/Ingredient","false","onion (whole, raw)","","",,,
"9",":http://schema.org/Ingredient","false","liver paste","","",,,
"10",":http://schema.org/Ingredient","false","soda water","","",,,
"11",":http://schema.org/Ingredient","false","cabbage (whole)","","",,,
"12",":http://schema.org/Ingredient","false","06330 - tomatoes (efsa foodex2)","","",,,
"13",":http://schema.org/Ingredient","false","clove food product","","",,,
"14",":http://schema.org/Ingredient","false","salt and pepper spray","","",,,
"15",":http://schema.org/Ingredient","false","white sugar","","",,,
"16",":http://schema.org/Ingredient","false","sour cream","","",,,
"17",":http://schema.org/Ingredient","false","parsley leaf","","",,,
"18",":http://schema.org/Recipe","","Polish Borscht","","https://www.allrecipes.com/recipe/262725/polish-borscht/",,,
"19",":http://schema.org/Ingredient","false","08070 - other wild mushrooms (efsa foodex2)","","",,,
"20",":http://schema.org/Ingredient","false","05790 - onions (efsa foodex2)","","",,,
"21",":http://schema.org/Ingredient","false","allspice","","",,,
"22",":http://schema.org/Ingredient","false","bay plant","","",,,
"23",":http://schema.org/Ingredient","false","black or white pepper product","","",,,
"24",":http://schema.org/Ingredient","false","lemon (whole, raw)","","",,,
"25",":http://schema.org/Recipe","","Yukon Cornelius Pull-Apart Cupcake Cake","","https://www.allrecipes.com/recipe/277690/yukon-cornelius-pull-apart-cupcake-cake/",,,
"26",":http://schema.org/Ingredient","true","graham flour","","",,,
"27",":http://schema.org/Ingredient","false","cocoa","","",,,
"28",":http://schema.org/Ingredient","false","baking soda product","","",,,
"29",":http://schema.org/Ingredient","false","salt","","",,,
"30",":http://schema.org/Ingredient","false","brown sugar","","",,,
"31",":http://schema.org/Ingredient","false","butter (unsalted)","","",,,
"32",":http://schema.org/Ingredient","false","50132500 - eggs/eggs substitutes (gs1 gpc)","","",,,
"33",":http://schema.org/Ingredient","false","vanilla bean extract","","",,,
"34",":http://schema.org/Ingredient","false","coffee (liquid drink)","","",,,
"35",":http://schema.org/Ingredient","false","white chocolate","","",,,
"36",":http://schema.org/Ingredient","false","mammalian heavy cream (36%+)","","",,,
"37",":http://schema.org/Ingredient","false","peppermint","","",,,
"38",":http://schema.org/Ingredient","false","peppermint patty","","",,,
"39",":http://schema.org/Ingredient","false","sugar cane (powdered)","","",,,
"40",":http://schema.org/Ingredient","false","Food Ontology","","",,,
"41",":http://schema.org/Ingredient","false","red snapper food product","","",,,
"42",":http://schema.org/Ingredient","false","30510 - foamed sugar products (marshmallows) (efsa foodex2)","","",,,
"43",":http://schema.org/Ingredient","false","dark chocolate","","",,,
"44",":http://schema.org/Ingredient","false","10000116 - tea - bags/loose (gs1 gpc)","","",,,
"45",":http://schema.org/Ingredient","false","salmon (tips and tails, raw)","","",,,
"46",":http://schema.org/Ingredient","false","star fruit food product","","",,,
"47",":http://schema.org/Recipe","","Cranberry Salad","","https://www.allrecipes.com/recipe/212467/cranberry-salad/",,,
"48",":http://schema.org/Ingredient","false","15950 - cranberries (efsa foodex2)","","",,,
"49",":http://schema.org/Ingredient","false","14730 - apples (efsa foodex2)","","",,,
"50",":http://schema.org/Ingredient","false","11500 - pecans (efsa foodex2)","","",,,
"51",":http://schema.org/Ingredient","false","vanilla bean food product","","",,,
"52",":http://schema.org/Recipe","","Cardamom Maple Salmon","","https://www.allrecipes.com/recipe/237297/cardamom-maple-salmon/",,,
"53",":http://schema.org/Ingredient","false","paprika","","",,,
"54",":http://schema.org/Ingredient","false","green cardamom","","",,,
"55",":http://schema.org/Ingredient","false","coriander (whole)","","",,,
"56",":http://schema.org/Ingredient","false","grape seed oil (edible)","","",,,
"57",":http://schema.org/Ingredient","false","maple syrup","","",,,
"58",":http://schema.org/Ingredient","false","fillet","","",,,
"59",":http://schema.org/Recipe","","Al's Burmese Chicken Curry","","https://www.allrecipes.com/recipe/276989/als-burmese-chicken-curry/",,,
"60",":http://schema.org/Ingredient","false","butter","","",,,
"61",":http://schema.org/Ingredient","false","05850 - shallots (efsa foodex2)","","",,,
"62",":http://schema.org/Ingredient","false","curry paste","","",,,
"63",":http://schema.org/Ingredient","false","curry powder","","",,,
"64",":http://schema.org/Ingredient","false","chili pepper","","",,,
"65",":http://schema.org/Ingredient","true","chicken","","",,,
"66",":http://schema.org/Ingredient","false","09110 - lemongrass (efsa foodex2)","","",,,
"67",":http://schema.org/Ingredient","false","Capsicum","","",,,
"68",":http://schema.org/Ingredient","false","09030 - kaffir lime leaves (efsa foodex2)","","",,,
"69",":http://schema.org/Ingredient","true","fish sauce","","",,,
"70",":http://schema.org/Ingredient","false","milk","","",,,
"71",":http://schema.org/Ingredient","false","08370 - coriander leaves (efsa foodex2)","","",,,
"72",":http://schema.org/Recipe","","Low Carb Turkey-Stuffed Peppers","","https://www.allrecipes.com/recipe/276832/low-carb-turkey-stuffed-peppers/",,,
"73",":http://schema.org/Ingredient","false","cooking spray (nonstick)","","",,,
"74",":http://schema.org/Ingredient","false","olive oil","","",,,
"75",":http://schema.org/Ingredient","true","turkey (whole, raw)","","",,,
"76",":http://schema.org/Ingredient","false","jalapeno pepper (whole)","","",,,
"77",":http://schema.org/Ingredient","false","cauliflower (whole)","","",,,
"78",":http://schema.org/Ingredient","false","sauce","","",,,
"79",":http://schema.org/Ingredient","false","chili paste","","",,,
"80",":http://schema.org/Ingredient","false","roll (seeded)","","",,,
"81",":http://schema.org/Ingredient","false","stracchino cheese","","",,,
"82",":http://schema.org/Ingredient","false","aluminum foil wrapper","","",,,
"83",":http://schema.org/Ingredient","false","jalapeno jelly","","",,,
"84",":http://schema.org/Recipe","","Perfect Lasagna Bolognese","","https://www.allrecipes.com/recipe/254700/perfect-lasagna-bolognese/",,,
"85",":http://schema.org/Ingredient","false","pancetta","","",,,
"86",":http://schema.org/Ingredient","false","celery seed","","",,,
"87",":http://schema.org/Ingredient","false","divided into pieces, thickness <0.3 cm.","","",,,
"88",":http://schema.org/Ingredient","true","pork shoulder (raw)","","",,,
"89",":http://schema.org/Ingredient","false","Riesling wine","","",,,
"90",":http://schema.org/Ingredient","false","vegetable puree","","",,,
"91",":http://schema.org/Ingredient","false","tomato paste","","",,,
"92",":http://schema.org/Ingredient","true","beef broth","","",,,
"93",":http://schema.org/Ingredient","false","bay leaf (dried)","","",,,
"94",":http://schema.org/Ingredient","false","nutmeg seed (ground)","","",,,
"95",":http://schema.org/Ingredient","false","lasagna noodle","","",,,
"96",":http://schema.org/Ingredient","false","parmesan cheese","","",,,
"97",":http://schema.org/Recipe","","Turkey Carcass Soup","","https://www.allrecipes.com/recipe/218804/turkey-carcass-soup/",,,
"98",":http://schema.org/Ingredient","false","potatoes gratiné (dish)","","",,,
"99",":http://schema.org/Ingredient","false","barley grain (whole, raw)","","",,,
"100",":http://schema.org/Ingredient","false","worcestershire sauce","","",,,
"101",":http://schema.org/Ingredient","false","basil food product","","",,,
"102",":http://schema.org/Ingredient","false","poultry seasoning (dry)","","",,,
"103",":http://schema.org/Ingredient","false","thyme food product","","",,,
"104",":http://schema.org/Recipe","","West African-Style Peanut Stew with Chicken","","https://www.allrecipes.com/recipe/276720/west-african-style-peanut-stew-with-chicken/",,,
"105",":http://schema.org/Ingredient","true","chicken breast (skinless, boneless)","","",,,
"106",":http://schema.org/Ingredient","false","peanut oil","","",,,
"107",":http://schema.org/Ingredient","false","ginger root","","",,,
"108",":http://schema.org/Ingredient","false","cumin seed (whole, dried)","","",,,
"109",":http://schema.org/Ingredient","false","turmeric extract","","",,,
"110",":http://schema.org/Ingredient","false","cinnamon","","",,,
"111",":http://schema.org/Ingredient","true","chicken broth","","",,,
"112",":http://schema.org/Ingredient","false","sweet potato (whole)","","",,,
"113",":http://schema.org/Ingredient","false","collard plant","","",,,
"114",":http://schema.org/Ingredient","false","bell pepper food product","","",,,
"115",":http://schema.org/Ingredient","false","peanut butter","","",,,
"116",":http://schema.org/Ingredient","false","11810 - peanuts (efsa foodex2)","","",,,
"117",":http://schema.org/Recipe","","Slow Cooker Low-Carb Santa Fe Chicken","","https://www.allrecipes.com/recipe/241828/slow-cooker-low-carb-santa-fe-chicken/",,,
"118",":http://schema.org/Ingredient","false","baked beans (dish)","","",,,
"119",":http://schema.org/Ingredient","false","10006192 - flat sweet peppers (tomato peppers) (gs1 gpc)","","",,,
"120",":http://schema.org/Ingredient","false","corn (roasted)","","",,,
"121",":http://schema.org/Ingredient","false","scallion food product","","",,,
"122",":http://schema.org/Ingredient","false","garlic powder","","",,,
"123",":http://schema.org/Ingredient","false","onion powder","","",,,
"124",":http://schema.org/Ingredient","false","cayenne pepper (dried)","","",,,
"125",":http://schema.org/Recipe","","Bren's Italian Meatballs","","https://www.allrecipes.com/recipe/247370/brens-italian-meatballs/",,,
"126",":http://schema.org/Ingredient","false","raisin bread","","",,,
"127",":http://schema.org/Ingredient","false","romano cheese (pecorino-style)","","",,,
